"filename", "language", "Markdown", "C", "C++", "Lua", "Ini", "YAML", "XML", "Objective-C++", "Shell Script", "Python", "GLSL", "Makefile", "Batch", "HTML", "Groovy", "reStructuredText", "kotlin", "CSS", "Objective-C", "JavaScript", "SCSS", "comment", "blank", "total"
"e:\Development\Orion\Orion\vendor\glm\glm\ext\matrix_double3x2_precision.hpp", "C++", 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 17, 7, 32
"e:\Development\Orion\Orion\vendor\glm\glm\ext\matrix_double3x3.hpp", "C++", 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 6, 24
"e:\Development\Orion\Orion\vendor\glm\glm\ext\matrix_double3x3_precision.hpp", "C++", 0, 0, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 29, 10, 50
"e:\Development\Orion\Orion\vendor\glm\glm\ext\matrix_double3x4.hpp", "C++", 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 5, 19
"e:\Development\Orion\Orion\vendor\glm\glm\ext\matrix_double3x4_precision.hpp", "C++", 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 17, 7, 32
"e:\Development\Orion\Orion\vendor\glm\glm\ext\matrix_double4x2.hpp", "C++", 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 5, 19
"e:\Development\Orion\Orion\vendor\glm\glm\ext\matrix_double4x2_precision.hpp", "C++", 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 17, 7, 32
"e:\Development\Orion\Orion\vendor\glm\glm\ext\matrix_double4x3.hpp", "C++", 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 5, 19
"e:\Development\Orion\Orion\vendor\glm\glm\ext\matrix_double4x3_precision.hpp", "C++", 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 17, 7, 32
"e:\Development\Orion\Orion\vendor\glm\glm\ext\matrix_double4x4.hpp", "C++", 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 6, 24
"e:\Development\Orion\Orion\vendor\glm\glm\ext\matrix_double4x4_precision.hpp", "C++", 0, 0, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 29, 10, 50
"e:\Development\Orion\Orion\vendor\glm\glm\ext\matrix_float2x2.hpp", "C++", 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 6, 24
"e:\Development\Orion\Orion\vendor\glm\glm\ext\matrix_float2x2_precision.hpp", "C++", 0, 0, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 29, 10, 50
"e:\Development\Orion\Orion\vendor\glm\glm\ext\matrix_float2x3.hpp", "C++", 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 5, 19
"e:\Development\Orion\Orion\vendor\glm\glm\ext\matrix_float2x3_precision.hpp", "C++", 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 17, 7, 32
"e:\Development\Orion\Orion\vendor\glm\glm\ext\matrix_float2x4.hpp", "C++", 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 5, 19
"e:\Development\Orion\Orion\vendor\glm\glm\ext\matrix_float2x4_precision.hpp", "C++", 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 17, 7, 32
